asset,AAPL,AMZN,BNB,BTC,ETH,GOOGL,JPM,META,MSFT,NVDA,SOL,SPY,TSLA,V,XRP
AAPL,1.0,0.5851924474066345,0.1679831975044711,0.20721957717259154,0.22248013398329036,0.614684606192356,0.4295959405968322,0.525726094966713,0.6782359087513672,0.5666970444432726,0.16741992358948934,0.7687905802279266,0.4552382063570523,0.5774625222416394,0.1586984516909084
AMZN,0.5851924474066345,1.0,0.15477602485316672,0.21130502008976496,0.21593811134719473,0.6391059330933098,0.3240602753934339,0.6093116999368591,0.6691717718617494,0.5770033563742613,0.19194833481507295,0.6711099193828612,0.4224432332610397,0.45620466299986423,0.15193896501751314
BNB,0.1679831975044711,0.15477602485316672,1.0,0.6439557200625959,0.6430874903810871,0.154928148729847,0.13369624171832886,0.13998984089446856,0.1860141079037975,0.1794802511483903,0.40082149446305176,0.21661516715484366,0.13621054586417838,0.15371423958582014,0.46027115732788637
BTC,0.20721957717259154,0.21130502008976496,0.6439557200625959,1.0,0.8183855715173165,0.2166857637451776,0.1855078515989874,0.1807127853407492,0.24996404525205987,0.23480934794300765,0.42049233776670686,0.28019189807567135,0.1984149110039391,0.19567225491865162,0.5524109437806913
ETH,0.22248013398329036,0.21593811134719473,0.6430874903810871,0.8183855715173165,1.0,0.2387309708884596,0.18561556206184385,0.19211345863459908,0.2560279426202506,0.24446492395049296,0.4840381303069533,0.29540917321679827,0.19235084453366444,0.21251197753353282,0.6074305298077392
GOOGL,0.614684606192356,0.6391059330933098,0.154928148729847,0.2166857637451776,0.2387309708884596,1.0,0.41383498804658403,0.6087765154204164,0.689186606989083,0.572438736306997,0.18214642450296809,0.7283147949849643,0.3999443029762725,0.5323530201613972,0.16609438993543232
JPM,0.4295959405968322,0.3240602753934339,0.13369624171832886,0.1855078515989874,0.18561556206184385,0.41383498804658403,1.0,0.330582721950071,0.4321740130987244,0.35942257660121557,0.12111589885946658,0.7093381752541963,0.2921585324459705,0.5943735419193734,0.14518928454599742
META,0.525726094966713,0.6093116999368591,0.13998984089446856,0.1807127853407492,0.19211345863459908,0.6087765154204164,0.330582721950071,1.0,0.58896216237556,0.5247336941914577,0.1447447657938531,0.6223746315969516,0.33960918694666165,0.4440870895732894,0.12091414830665097
MSFT,0.6782359087513672,0.6691717718617494,0.1860141079037975,0.24996404525205987,0.2560279426202506,0.689186606989083,0.4321740130987244,0.58896216237556,1.0,0.6494082357762212,0.18320425809221882,0.7944244003793633,0.42869742701516944,0.6050105496924544,0.18463569933861018
NVDA,0.5666970444432726,0.5770033563742613,0.1794802511483903,0.23480934794300765,0.24446492395049296,0.572438736306997,0.35942257660121557,0.5247336941914577,0.6494082357762212,1.0,0.19919084669429082,0.6946596438507637,0.44646354178042147,0.4673130860119717,0.1636840425387518
SOL,0.16741992358948934,0.19194833481507295,0.40082149446305176,0.42049233776670686,0.4840381303069533,0.18214642450296809,0.12111589885946658,0.1447447657938531,0.18320425809221882,0.19919084669429082,1.0,0.20996470459206013,0.19271783292563197,0.14544339661899552,0.41582943151836543
SPY,0.7687905802279266,0.6711099193828612,0.21661516715484366,0.28019189807567135,0.29540917321679827,0.7283147949849643,0.7093381752541963,0.6223746315969516,0.7944244003793633,0.6946596438507637,0.20996470459206013,1.0,0.5042052785012238,0.7572178034336332,0.21080230216543916
TSLA,0.4552382063570523,0.4224432332610397,0.13621054586417838,0.1984149110039391,0.19235084453366444,0.3999443029762725,0.2921585324459705,0.33960918694666165,0.42869742701516944,0.44646354178042147,0.19271783292563197,0.5042052785012238,1.0,0.34747291166968597,0.1602737014036982
V,0.5774625222416394,0.45620466299986423,0.15371423958582014,0.19567225491865162,0.21251197753353282,0.5323530201613972,0.5943735419193734,0.4440870895732894,0.6050105496924544,0.4673130860119717,0.14544339661899552,0.7572178034336332,0.34747291166968597,1.0,0.14297672976746523
XRP,0.1586984516909084,0.15193896501751314,0.46027115732788637,0.5524109437806913,0.6074305298077392,0.16609438993543232,0.14518928454599742,0.12091414830665097,0.18463569933861018,0.1636840425387518,0.41582943151836543,0.21080230216543916,0.1602737014036982,0.14297672976746523,1.0
