asset,asset_type,latest_date,latest_close,next_forecast_close,predicted_return,forecast_direction,model,mae,rmse
AAPL,Stock,2026-04-28,270.7099914550781,270.56079573638164,-0.0005511274921718111,SIDEWAYS,"ARIMA(5,1,0)",21.45579471559499,23.42154992902962
AMZN,Stock,2026-04-28,259.70001220703125,260.02638025051624,0.001256711698668738,SIDEWAYS,"ARIMA(5,1,0)",15.4907895366085,18.580866792163825
BNB,Cryptocurrency,2026-05-06,649.09,648.739501571237,-0.0005399843300050678,SIDEWAYS,"ARIMA(5,1,0)",240.70322242353913,247.35486337776416
BTC,Cryptocurrency,2026-05-06,81665.84,81639.47463607635,-0.0003228444588783217,SIDEWAYS,"ARIMA(5,1,0)",16497.305645274184,17288.823503363485
ETH,Cryptocurrency,2026-05-06,2357.44,2355.467617562061,-0.0008366628367801108,SIDEWAYS,"ARIMA(5,1,0)",766.2692183258648,791.7334488074839
GOOGL,Stock,2026-04-28,349.7799987792969,350.5454502445504,0.0021883797470549945,SIDEWAYS,"ARIMA(5,1,0)",12.79876662830894,15.851650675160164
JPM,Stock,2026-04-28,311.45001220703125,311.6622469247721,0.0006814407109406755,SIDEWAYS,"ARIMA(5,1,0)",10.319903200877636,12.714326983999669
META,Stock,2026-04-28,671.3400268554688,672.6615206147192,0.0019684417826838696,SIDEWAYS,"ARIMA(5,1,0)",25.102444078452482,35.04403278707313
MSFT,Stock,2026-04-28,429.25,429.92552555052544,0.0015737345382071878,SIDEWAYS,"ARIMA(5,1,0)",61.76020789026401,74.31935897129888
NVDA,Stock,2026-04-28,213.1699981689453,213.63887086356624,0.00219952478607861,SIDEWAYS,"ARIMA(5,1,0)",7.031467961264337,9.544730547847406
SOL,Cryptocurrency,2026-05-06,89.2,88.98919487363048,-0.0023632861700619017,SIDEWAYS,"ARIMA(5,1,0)",36.78585251803426,37.69661432948363
SPY,Stock,2026-04-28,711.6900024414062,712.036379683109,0.00048669679286557517,SIDEWAYS,"ARIMA(5,1,0)",12.26570897211338,16.177726396248737
TSLA,Stock,2026-04-28,376.0199890136719,377.05570052745554,0.00275440546791253,SIDEWAYS,"ARIMA(5,1,0)",32.175158865541476,38.83754615793037
V,Stock,2026-04-28,309.29998779296875,309.29988579562985,-3.2976832501626296e-07,SIDEWAYS,"ARIMA(5,1,0)",15.054560990409756,17.795404486556794
XRP,Cryptocurrency,2026-05-06,1.4305,1.427916101117294,-0.0018062907254149236,SIDEWAYS,"ARIMA(5,1,0)",0.4746215188914376,0.48645654951031575
