asset,asset_type,max_sharpe_weight,min_volatility_weight,equal_weight
AAPL,Stock,0.11008184880908341,0.032455885437928524,0.06666666666666667
AMZN,Stock,1.1492543028346347e-17,0.029198665365354547,0.06666666666666667
BNB,Cryptocurrency,0.19292997712973728,0.0,0.06666666666666667
BTC,Cryptocurrency,0.0,0.12553079550194274,0.06666666666666667
ETH,Cryptocurrency,1.8626593323300966e-16,2.9571614254542133e-17,0.06666666666666667
GOOGL,Stock,0.17667383290872724,0.053183043376463054,0.06666666666666667
JPM,Stock,0.009427928077477655,0.17704444004187503,0.06666666666666667
META,Stock,0.0,0.0,0.06666666666666667
MSFT,Stock,6.830473686658678e-18,0.058117965778378744,0.06666666666666667
NVDA,Stock,0.24999999999999992,0.0,0.06666666666666667
SOL,Cryptocurrency,0.11374644842732914,0.024469204498057447,0.06666666666666667
SPY,Stock,6.375108774214766e-17,0.25,0.06666666666666667
TSLA,Stock,0.14713996464764528,0.0,0.06666666666666667
V,Stock,0.0,0.24999999999999997,0.06666666666666667
XRP,Cryptocurrency,8.565197162635485e-18,3.4531839193663316e-17,0.06666666666666667
